timestamp,trip_index,planet,morty_count,survived,morties_in_citadel,morties_on_planet_jessica,morties_lost,steps_taken,success_rate,volatility,note
2025-11-05T08:33:12.707965,1,0,1,1,999,1,0,1,1.0,0.0,initial_probe
2025-11-05T08:33:13.142233,2,1,1,1,998,2,0,2,1.0,0.0,initial_probe
2025-11-05T08:33:13.576276,3,2,1,1,997,3,0,3,1.0,0.0,initial_probe
2025-11-05T08:33:14.237094,4,0,3,0,994,3,3,4,0.5,1.0,"score=1.000,vol=0.000,send=3"
2025-11-05T08:33:14.860865,5,1,3,0,991,3,6,5,0.5,1.0,"score=1.000,vol=0.000,send=3"
2025-11-05T08:33:15.474042,6,2,3,1,988,6,6,6,1.0,0.0,"score=1.000,vol=0.000,send=3"
2025-11-05T08:33:16.082844,7,2,3,0,985,6,9,7,0.6666666666666666,0.5,"score=1.000,vol=0.000,send=3"
2025-11-05T08:33:16.698730,8,2,1,1,984,7,9,8,0.75,0.6666666666666666,"forced_probe_top_score=0.333,vol=0.500"
2025-11-05T08:33:17.311968,9,2,1,1,983,8,9,9,0.8,0.5,"forced_probe_top_score=0.250,vol=0.667"
2025-11-05T08:33:17.794552,10,2,1,0,982,8,10,10,0.6666666666666666,0.6,"forced_probe_top_score=0.400,vol=0.500|recent_failures_cooldown"
2025-11-05T08:33:18.540365,11,2,1,0,981,8,11,11,0.5714285714285714,0.5,"forced_probe_top_score=0.267,vol=0.600|recent_failures_cooldown"
2025-11-05T08:33:19.156726,12,2,1,1,980,9,11,12,0.625,0.5714285714285714,"forced_probe_top_score=0.286,vol=0.500|recent_failures_cooldown"
2025-11-05T08:33:19.769687,13,2,1,1,979,10,11,13,0.6666666666666666,0.5,"forced_probe_top_score=0.268,vol=0.571|recent_failures_cooldown"
2025-11-05T08:33:20.399476,14,2,1,0,978,10,12,14,0.6,0.5555555555555556,"forced_probe_top_score=0.333,vol=0.500|recent_failures_cooldown"
2025-11-05T08:33:20.999832,15,2,1,1,977,11,12,15,0.6363636363636364,0.6,"forced_probe_top_score=0.267,vol=0.556|recent_failures_cooldown"
2025-11-05T08:33:21.613968,16,2,1,1,976,12,12,16,0.6666666666666666,0.5454545454545454,"forced_probe_top_score=0.255,vol=0.600"
2025-11-05T08:33:22.226543,17,2,1,1,975,13,12,17,0.6923076923076923,0.5,"forced_probe_top_score=0.303,vol=0.545"
2025-11-05T08:33:22.840412,18,2,1,0,974,13,13,18,0.6428571428571429,0.5384615384615384,"forced_probe_top_score=0.346,vol=0.500|recent_failures_cooldown"
2025-11-05T08:33:23.455247,19,2,1,0,973,13,14,19,0.6,0.5,"forced_probe_top_score=0.297,vol=0.538|recent_failures_cooldown"
2025-11-05T08:33:23.869925,20,2,1,0,972,13,15,20,0.5333333333333333,0.5,"forced_probe_top_score=0.300,vol=0.500|recent_failures_cooldown"
2025-11-05T08:33:24.993949,21,2,1,1,971,14,15,21,0.5333333333333333,0.5,"forced_probe_top_score=0.267,vol=0.500|recent_failures_cooldown"
