timestamp,trip_index,planet,morty_count,survived,morties_in_citadel,morties_on_planet_jessica,morties_lost,steps_taken,success_rate,volatility,note
2025-11-05T08:03:09.009131,1,0,1,1,999,1,0,1,1.0,0.0,initial_probe
2025-11-05T08:03:09.429488,2,1,1,0,998,1,1,2,0.0,0.0,initial_probe
2025-11-05T08:03:09.939013,3,2,1,1,997,2,1,3,1.0,0.0,initial_probe
2025-11-05T08:03:10.538973,4,0,3,1,994,5,1,4,1.0,0.0,"score=1.000,vol=0.000,send=3"
2025-11-05T08:03:10.953755,5,0,3,1,991,8,1,5,1.0,0.0,"score=1.000,vol=0.000,send=3"
2025-11-05T08:03:11.364111,6,0,3,1,988,11,1,6,1.0,0.0,"score=1.000,vol=0.000,send=3"
2025-11-05T08:03:11.765225,7,0,3,0,985,11,4,7,0.8,0.25,"score=1.000,vol=0.000,send=3"
2025-11-05T08:03:12.189140,8,2,3,1,982,14,4,8,1.0,0.0,"score=1.000,vol=0.000,send=3"
2025-11-05T08:03:12.689258,9,2,3,1,979,17,4,9,1.0,0.0,"score=1.000,vol=0.000,send=3"
2025-11-05T08:03:13.299773,10,2,3,1,976,20,4,10,1.0,0.0,"score=1.000,vol=0.000,send=3"
2025-11-05T08:03:13.703410,11,2,3,0,973,20,7,11,0.8,0.25,"score=1.000,vol=0.000,send=3"
2025-11-05T08:03:14.118284,12,0,1,1,972,21,7,12,0.8333333333333334,0.4,"score=0.600,vol=0.250,send=1"
2025-11-05T08:03:14.545290,13,2,1,1,971,22,7,13,0.8333333333333334,0.4,"score=0.600,vol=0.250,send=1"
2025-11-05T08:03:14.957967,14,0,1,1,970,23,7,14,0.8571428571428571,0.3333333333333333,"score=0.500,vol=0.400,send=1"
2025-11-05T08:03:15.443631,15,0,1,1,969,24,7,15,0.875,0.2857142857142857,"score=0.571,vol=0.333,send=1"
2025-11-05T08:03:15.858835,16,0,1,1,968,25,7,16,0.8888888888888888,0.25,"score=0.625,vol=0.286,send=1"
2025-11-05T08:03:16.257783,17,0,1,1,967,26,7,17,0.9,0.2222222222222222,"score=0.667,vol=0.250,send=1"
